payment_id,bill_id,payment_method,payment_amount
129,244,Card,18413
130,258,Card,4053
131,247,Cash,18671
132,424,Card,15139
133,268,UPI,13136
134,448,Card,18361
135,220,Cash,16798
136,405,UPI,12485
137,302,Card,14942
138,69,Insurance,16634
139,393,Cash,3746
140,146,UPI,9447
141,97,Card,1233
142,296,Card,18031
143,4,UPI,7731
144,353,Insurance,14397
145,186,Card,6071
146,219,Insurance,9562
147,438,UPI,19503
148,188,Insurance,14023
149,387,Cash,14540
150,283,UPI,6856
151,190,UPI,9315
152,158,Insurance,14045
153,377,Cash,4902
154,383,Cash,15634
155,401,Cash,4285
156,110,UPI,12089
157,411,Card,6267
158,200,Card,3984
159,422,Cash,16455
160,475,UPI,3888
161,33,Insurance,8266
162,190,Card,2237
163,371,UPI,14128
164,315,Insurance,2882
165,485,Cash,17199
166,225,Card,7609
167,436,Insurance,7381
168,18,Cash,6553
169,346,Card,12787
170,123,Card,6159
171,45,Insurance,14088
172,181,UPI,14285
173,301,Cash,17965
174,8,Card,3954
175,282,Insurance,19321
176,469,Insurance,12386
177,494,Insurance,8415
178,311,Cash,15901
179,477,UPI,19838
180,3,Insurance,6735
181,209,Card,19305
182,38,Insurance,12140
183,485,Card,17819
184,490,Insurance,18626
185,417,Insurance,15508
186,495,UPI,19453
187,248,Cash,12130
188,493,UPI,16096
189,460,Card,16793
190,60,Insurance,3213
191,196,Cash,8534
192,410,Insurance,14514
193,490,Insurance,17924
194,275,Card,9629
195,128,Insurance,4047
196,205,Insurance,3491
197,284,Cash,16615
198,161,Insurance,8161
199,458,Insurance,6989
200,485,Cash,17351
201,378,Cash,8695
202,377,Cash,9696
203,106,Cash,7644
204,428,Cash,12666
205,80,Card,4928
206,472,Card,17143
207,315,Card,18743
208,491,Card,16803
209,191,Insurance,17133
210,460,Insurance,17082
211,94,Insurance,14037
212,114,Cash,2774
213,270,UPI,16673
214,482,Card,17465
215,178,UPI,6727
216,235,Card,17980
217,236,Insurance,1275
218,7,Cash,13433
219,298,Card,11663
220,186,Insurance,7132
221,281,Insurance,8770
222,138,UPI,12242
223,188,Cash,17343
224,218,Cash,14732
225,359,Insurance,12962
226,438,UPI,10162
227,231,Cash,19723
228,68,Cash,4272
229,370,Insurance,8726
230,285,UPI,13480
231,101,Cash,5900
232,243,Card,6787
233,216,UPI,5406
234,458,Insurance,16945
235,154,Insurance,19420
236,440,Card,14054
237,51,Cash,2967
238,111,Insurance,16615
239,430,Card,15740
240,382,Insurance,9512
241,185,Insurance,19361
242,286,Insurance,12276
243,11,UPI,4972
244,180,Cash,19902
245,295,Cash,10326
246,182,Insurance,17726
247,250,UPI,3569
248,196,Insurance,16196
249,324,Cash,6491
250,328,Insurance,14822
251,324,UPI,3337
252,41,Cash,12259
253,117,Insurance,11383
254,335,Insurance,9764
255,310,UPI,9888
256,455,UPI,12900
257,383,UPI,14565
258,86,Cash,1756
259,65,Cash,9245
260,482,Card,7900
261,86,UPI,4375
262,49,Card,16505
263,281,Card,1863
264,395,UPI,18169
265,392,Card,4405
266,135,Cash,3762
267,336,UPI,11137
268,118,Cash,10311
269,227,Cash,5301
270,270,Cash,1936
271,18,Insurance,11656
272,443,UPI,16308
273,500,Insurance,18974
274,228,Cash,18671
275,91,UPI,19480
276,223,Insurance,12376
277,247,Cash,3934
278,227,Insurance,12985
279,212,Insurance,6102
280,156,Card,1003
281,268,Cash,12268
282,147,UPI,18534
283,5,UPI,16632
284,154,Card,15104
285,409,Insurance,8576
286,408,Card,18963
287,192,Cash,14491
288,452,UPI,13935
289,128,Cash,13770
290,425,UPI,8228
291,135,Card,14835
292,321,Cash,17928
293,392,Insurance,10328
294,333,Insurance,14530
295,97,Card,6977
296,70,Insurance,4616
297,327,UPI,15836
298,140,UPI,7153
299,165,Card,5985
300,26,Card,7092
301,498,Card,10244
302,138,Cash,15366
303,373,Card,8628
304,47,Cash,1482
305,253,Cash,12203
306,216,Insurance,17331
307,191,UPI,2039
308,170,Card,5787
309,29,Insurance,13858
310,37,UPI,6950
311,99,Insurance,13503
312,425,Card,4996
313,499,Cash,13609
314,395,UPI,9099
315,378,Card,7526
316,236,Card,18076
317,341,Cash,16493
318,200,Insurance,11586
319,82,Card,19008
320,267,Card,9300
321,247,Insurance,7511
322,185,Card,8136
323,499,Card,8732
324,325,UPI,11633
325,8,Cash,10047
326,300,Card,13969
327,405,Cash,1292
328,497,Card,16573
329,353,Cash,13169
330,395,Card,9150
331,81,UPI,3995
332,352,Insurance,2967
333,31,Insurance,6043
334,360,Card,5123
335,250,Cash,11378
336,286,Insurance,15375
337,376,Cash,1699
338,353,UPI,12736
339,371,Cash,9214
340,461,Card,16902
341,362,UPI,19318
342,151,UPI,7218
343,291,Cash,18813
344,179,Insurance,16348
345,141,Cash,3256
346,272,Cash,15725
347,152,Insurance,18747
348,188,UPI,1023
349,398,UPI,7079
350,453,Card,12930
351,398,Cash,11508
352,370,Card,18660
353,420,UPI,7221
354,269,UPI,19070
355,79,Insurance,11570
356,210,Insurance,4619
357,50,Card,2434
358,428,Cash,6853
359,448,Card,7621
360,55,UPI,7278
361,51,Card,19710
362,329,UPI,17053
363,270,Insurance,2608
364,188,Cash,3322
365,7,Cash,17102
366,476,Card,16337
367,411,Card,12826
368,286,UPI,13093
369,407,Card,9710
370,271,Card,3306
371,428,Insurance,3553
372,484,Cash,18022
373,50,Card,8569
374,273,UPI,7208
375,99,Cash,19678
376,321,Cash,19298
377,384,UPI,4457
378,393,Insurance,16031
379,360,UPI,4411
380,86,Cash,19021
381,206,Insurance,6183
382,274,UPI,12544
383,463,Insurance,19025
384,167,Insurance,14511
385,392,UPI,11598
386,312,Cash,19453
387,280,Cash,13290
388,393,Insurance,12796
389,493,UPI,15663
390,492,UPI,1006
391,372,Card,10321
392,306,Card,17961
393,70,Insurance,1215
394,154,Cash,8039
395,439,Insurance,1711
396,396,Insurance,19142
397,262,Cash,4089
398,20,UPI,12654
399,80,Cash,9683
400,188,Cash,8634
401,132,Insurance,4011
402,293,UPI,19647
403,470,Cash,3529
404,371,Insurance,16811
405,89,UPI,19881
406,420,Card,10843
407,20,UPI,3571
408,400,Card,11957
409,179,UPI,14648
410,477,Card,8429
411,383,Card,13533
412,28,Insurance,18182
413,22,Insurance,18692
414,290,Cash,11709
415,258,Cash,6019
416,26,UPI,15601
417,386,Card,8277
418,222,Insurance,13921
419,76,Cash,12015
420,43,UPI,19724
421,382,Card,18961
422,205,Insurance,3787
423,205,UPI,5272
424,391,Cash,16758
425,287,Cash,16986
426,203,Cash,19388
427,316,Cash,8940
428,37,Insurance,15092
429,166,Card,4687
430,344,UPI,14878
431,188,Insurance,7241
432,165,Insurance,1793
433,395,Insurance,6546
434,180,UPI,5778
435,226,Card,8650
436,103,Insurance,6111
437,388,Card,4682
438,379,Card,8964
439,486,Cash,10426
440,8,Insurance,4646
441,157,UPI,16439
442,12,Insurance,7848
443,379,Cash,7678
444,280,Insurance,18983
445,248,Cash,1602
446,193,Card,9370
447,88,Card,10306
448,103,Insurance,2739
449,239,Card,3182
450,199,Insurance,12803
451,443,Card,1625
452,150,UPI,8574
453,195,Card,11336
454,249,Card,7108
455,102,UPI,19372
456,475,Card,2302
457,127,Insurance,11930
458,251,UPI,6144
459,10,Insurance,12531
460,182,Insurance,8739
461,257,Insurance,3031
462,321,Insurance,13686
463,456,Card,19184
464,486,Insurance,8391
465,78,Insurance,13872
466,337,Cash,3876
467,374,UPI,18062
468,492,Cash,14675
469,124,Cash,14974
470,497,Insurance,11790
471,230,Cash,7775
472,335,Cash,18739
473,351,Cash,5525
474,159,Cash,15092
475,466,Cash,19508
476,470,Cash,11403
477,35,Card,7033
478,163,Cash,1966
479,392,Insurance,14567
480,493,UPI,10940
481,227,Insurance,5979
482,399,Cash,4498
483,68,Cash,1858
484,391,Insurance,19580
485,314,Cash,8608
486,119,Card,12772
487,41,UPI,5393
488,258,UPI,13253
489,95,UPI,17103
490,243,Cash,6366
491,99,Cash,2056
492,210,Card,9842
493,487,UPI,8292
494,381,Cash,7703
495,34,Cash,15394
496,444,UPI,11646
497,444,UPI,9086
498,219,UPI,2370
499,312,UPI,11253
500,202,Card,18060
